age,income,loan_amount,loan_tenure,employment_type,cibil_score,existing_loans,education,loan_purpose,monthly_emi,emi_to_income,default
59,43054,1539720,36,Business,639,3,Graduate,Personal,43268.77,1.005,1
49,191469,434784,24,Business,651,4,Graduate,Vehicle,18309.13,0.0956,0
35,28233,928835,12,Salaried,508,0,Graduate,Education,78056.39,2.7647,1
63,171140,488598,48,Salaried,504,2,Under-Graduate,Business,10303.01,0.0602,0
28,80727,673578,48,Self-Employed,314,2,Post-Graduate,Home,14165.5,0.1755,1
41,105610,1314686,12,Salaried,727,0,Graduate,Home,110884.38,1.0499,1
59,85453,1230408,36,Self-Employed,775,0,Graduate,Vehicle,34515.13,0.4039,0
39,119135,1122718,12,Business,597,4,Under-Graduate,Personal,94729.49,0.7951,1
43,171904,422333,24,Business,856,4,Post-Graduate,Home,17812.45,0.1036,0
31,123464,943964,24,Self-Employed,393,1,Post-Graduate,Personal,39760.82,0.322,0
31,28682,984794,48,Business,406,1,Under-Graduate,Home,20773.81,0.7243,1
44,169455,1038539,12,Salaried,718,2,Graduate,Personal,87454.33,0.5161,0
56,73160,181436,48,Salaried,577,0,Under-Graduate,Personal,3808.77,0.0521,0
60,38666,893353,36,Self-Employed,427,2,Post-Graduate,Business,25018.46,0.647,1
44,73817,331941,24,Business,758,4,Graduate,Education,13951.43,0.189,0
23,106198,1335979,60,Business,337,3,Graduate,Home,22426.49,0.2112,0
42,180714,1655399,60,Self-Employed,497,4,Post-Graduate,Vehicle,27937.47,0.1546,1
22,56830,358444,12,Self-Employed,656,3,Graduate,Education,30160.92,0.5307,1
44,25234,1932184,12,Business,306,0,Under-Graduate,Business,162214.26,6.4284,1
64,72616,66105,60,Self-Employed,855,0,Post-Graduate,Business,1116.62,0.0154,0
50,24221,713299,12,Salaried,631,0,Post-Graduate,Business,60176.51,2.4845,1
58,157482,653760,24,Business,818,1,Graduate,Vehicle,27524.25,0.1748,0
22,16051,747389,36,Self-Employed,493,1,Post-Graduate,Home,20942.02,1.3047,1
41,125529,1769799,36,Self-Employed,615,3,Under-Graduate,Home,49550.99,0.3947,1
53,91918,128097,48,Self-Employed,300,2,Post-Graduate,Personal,2696.67,0.0293,1
32,93116,311674,24,Business,361,2,Graduate,Personal,13168.79,0.1414,0
42,137226,191519,12,Salaried,642,3,Post-Graduate,Personal,16091.37,0.1173,0
64,59757,1719024,12,Salaried,317,1,Graduate,Vehicle,144885.86,2.4246,1
45,136008,96940,48,Business,670,4,Graduate,Education,2049.23,0.0151,0
47,197329,783307,48,Self-Employed,878,3,Under-Graduate,Home,16514.33,0.0837,0
62,146379,135001,12,Business,870,2,Post-Graduate,Personal,11366.33,0.0777,0
48,71889,1857688,12,Business,534,3,Under-Graduate,Vehicle,156763.55,2.1806,1
36,50944,1773578,24,Self-Employed,368,3,Under-Graduate,Vehicle,74899.54,1.4702,1
